episode,return,epsilon,mean_loss,environment_steps,greedy_action,action_counts
0,0.09999999999999946,0.9987333333333334,,40,17,"[0, 0, 3, 1, 2, 0, 4, 2, 0, 1, 1, 3, 4, 2, 0, 1, 2, 1, 4, 1, 2, 4, 0, 1, 1]"
1,0.09999999999999991,0.9974666666666666,0.019747658795334726,80,7,"[1, 2, 0, 3, 1, 0, 3, 2, 0, 2, 2, 2, 2, 1, 0, 4, 4, 1, 1, 3, 1, 0, 4, 0, 1]"
2,0.0999999999999988,0.9962,0.012941344972296065,120,7,"[1, 1, 0, 2, 0, 2, 1, 2, 1, 3, 1, 2, 3, 1, 4, 0, 1, 4, 0, 3, 3, 1, 1, 1, 2]"
3,-0.9500000000000005,0.9949333333333333,0.0009662096269039466,160,7,"[3, 0, 1, 3, 1, 1, 1, 1, 2, 3, 1, 2, 0, 2, 1, 4, 2, 1, 2, 1, 0, 3, 1, 2, 2]"
4,-2.000000000000001,0.9936666666666667,3.066000483613607e-05,200,7,"[4, 1, 7, 3, 2, 0, 3, 0, 3, 1, 0, 4, 0, 0, 0, 1, 3, 0, 2, 0, 1, 1, 1, 1, 2]"
5,-0.9500000000000011,0.9924,2.528472724634412e-05,240,7,"[1, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 3, 2, 3, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1]"
6,-0.9500000000000007,0.9911333333333333,2.2777580568345e-05,280,7,"[3, 0, 2, 1, 1, 2, 1, 1, 1, 3, 2, 1, 0, 3, 1, 2, 2, 3, 1, 1, 1, 0, 1, 1, 6]"
7,-2.000000000000001,0.9898666666666667,2.2677329019415994e-05,320,7,"[2, 2, 1, 3, 1, 1, 2, 0, 1, 3, 5, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 0, 1, 0, 1]"
8,2.1999999999999993,0.9886,2.199263606144086e-05,360,7,"[0, 2, 2, 2, 2, 0, 3, 4, 2, 0, 3, 1, 1, 2, 0, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2]"
9,-2.000000000000001,0.9873333333333333,1.960395194373632e-05,400,7,"[0, 1, 2, 1, 2, 3, 1, 0, 3, 1, 3, 0, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2]"
