method,reference,metric,n_pairs,mean_difference,ci95_low,ci95_high
dqn,static,return,1,-0.09570564739999998,,
dqn,static,pdet,1,0.00452302630000001,,
dqn,static,rmse_m,1,0.0038780839999983385,,
dqn,static,throughput_mbps,1,-3.839999999999996e-05,,
dqn,static,delay_ms,1,0.4185461799999999,,
dqn,static,loss_pct,1,0.0,,
dqn,static,final_window_energy_j,1,-0.05999999999949068,,
random,static,return,1,0.18692339999999996,,
random,static,pdet,1,0.01985518289999999,,
random,static,rmse_m,1,-0.5263405030000001,,
random,static,throughput_mbps,1,4.1600000000000035e-05,,
random,static,delay_ms,1,-0.11149074999999975,,
random,static,loss_pct,1,0.0,,
random,static,final_window_energy_j,1,0.06500000000050932,,
rule,static,return,1,0.11819511419999973,,
rule,static,pdet,1,0.00552591460000007,,
rule,static,rmse_m,1,-0.30622354900000026,,
rule,static,throughput_mbps,1,2.5599999999999972e-05,,
rule,static,delay_ms,1,0.07040774999999933,,
rule,static,loss_pct,1,0.0,,
rule,static,final_window_energy_j,1,0.040000000000873115,,
