method,metric,n,mean,std,ci95_low,ci95_high
dqn,return,1,2.5076388494,,,
dqn,pdet,1,0.5654605263,,,
dqn,rmse_m,1,9.486733536,,,
dqn,throughput_mbps,1,0.00088,,,
dqn,delay_ms,1,11.92628541,,,
dqn,loss_pct,1,0.0,,,
dqn,final_window_energy_j,1,11239.19686,,,
random,return,1,2.7902678968,,,
random,pdet,1,0.5807926829,,,
random,rmse_m,1,8.956514949,,,
random,throughput_mbps,1,0.00096,,,
random,delay_ms,1,11.39624848,,,
random,loss_pct,1,0.0,,,
random,final_window_energy_j,1,11239.32186,,,
rule,return,1,2.721539611,,,
rule,pdet,1,0.5664634146,,,
rule,rmse_m,1,9.176631903,,,
rule,throughput_mbps,1,0.000944,,,
rule,delay_ms,1,11.57814698,,,
rule,loss_pct,1,0.0,,,
rule,final_window_energy_j,1,11239.29686,,,
static,return,1,2.6033444968,,,
static,pdet,1,0.5609375,,,
static,rmse_m,1,9.482855452,,,
static,throughput_mbps,1,0.0009184,,,
static,delay_ms,1,11.50773923,,,
static,loss_pct,1,0.0,,,
static,final_window_energy_j,1,11239.25686,,,
