sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.469643,6.7805,10152.1,1.63373,2361.84,2370.6,2994.95,2424.76,2359.75,2368.45,2992.87,2422.59,1.79574,1.79574,1.79574,1.79574,0.295,0.35,0.285,0.37,0.000832,11.4232,0,1,1,1,1,11.4877,15.3907,29.9446,14.6331,60,80,100,120,2,1.5,1,1.2
20,0.648171,6.90344,21489.1,2.45874,4979.42,5024.68,6320.01,5164.99,4974.84,5020.06,6315.56,5160.53,3.791,3.791,3.791,3.791,0.79,0.83,0.65,0.66,0.0010432,11.8069,0,1,1,1,0.9,11.4877,15.3907,29.9446,14.6331,60,80,100,120,2,1.5,1,1.2
30,0.691159,8.35468,32807.9,2.27997,7620.79,7673.73,9580.82,7932.58,7613.66,7666.79,9574.1,7925.91,5.78626,5.78626,5.78626,5.78626,1.345,1.16,0.94,0.89,0.0008992,11.7065,0,1,1,1,0.9,11.4877,15.3907,28.9446,14.6331,60,80,100,120,2,1.5,1,1.2
40,0.728869,10.6693,44059,2.17617,10216.4,10324.3,12808.2,10710.1,10206.8,10315.1,12799.3,10701.1,7.78152,7.78152,7.78152,7.78152,1.845,1.45,1.17,1.2,0.0008512,11.519,0,1,0.9,1,0.9,11.4877,15.3907,28.9446,14.6331,60,80,100,120,2,1.5,1,1.2
50,0.838352,12.5291,55447.8,2.52158,12825.2,13034.9,16142.2,13445.4,12813.3,13023.3,16130.7,13434.2,9.77679,9.77679,9.77679,9.77679,2.185,1.83,1.645,1.495,0.0009536,11.772,0,1,0.9,1,0.9,11.4877,15.3907,28.9446,15.6331,60,80,100,120,2,1.5,1,1.2
60,0.964286,13.8286,66871.9,2.65513,15418.4,15776.7,19419.8,16257,15404.3,15762.7,19405.9,16243.5,11.772,11.772,11.772,11.772,2.39,2.22,2.09,1.77,0.0008416,11.5645,0,1,0.9,1,0.9,11.4877,15.3907,28.9446,16.6331,60,80,100,120,2,1.5,1,1.2
70,0.975,16.1522,78193,2.42821,17983.3,18506.5,22617,19086.2,17967,18490,22600.8,19070.4,13.7673,13.7673,13.7673,13.7673,2.545,2.655,2.46,2.025,0.0007776,11.7275,0,1,0.9,1,0.9,11.4877,15.3907,28.9446,16.6331,60,80,100,120,2,1.5,1,1.2
80,0.975,18.6294,89428.4,2.24321,20558.4,21272,25761.5,21836.5,20539.8,21253.2,25743.1,21818.4,15.7626,15.7626,15.7626,15.7626,2.835,3.06,2.695,2.285,0.0007616,11.6447,0,1,0.9,1,0.9,11.4877,15.3907,28.9446,16.6331,60,85,100,120,2,1.5,1,1.2
90,0.975,21.5272,100681,2.52644,23168.7,23957.6,29061.4,24493.3,23147.5,23936.3,29040.6,24473,17.7578,17.7578,17.7578,17.7578,3.415,3.6,2.995,2.535,0.0010688,11.3322,0,1,0.9,1,0.8,11.4877,15.3907,28.9446,16.6331,60,85,100,120,2,1.5,1,1.2
100,0.975,21.6002,112044,2.95698,25738.5,26646,32310.7,27349.3,25714.5,26622,32287.5,27326.7,19.7531,19.7531,19.7531,19.7531,4.175,4.215,3.425,2.87,0.0013696,11.6481,0,1,0.9,1,0.7,11.4877,15.3907,28.9446,16.6331,60,85,100,120,2,1.5,1,1.2
