episode,return,epsilon,mean_loss,environment_steps,greedy_action,action_counts
0,32.3225270521,0.9449,,29,19,"[0, 1, 1, 0, 1, 3, 0, 3, 2, 1, 0, 2, 1, 1, 1, 1, 4, 2, 1, 2, 0, 1, 0, 0, 1]"
1,31.2213778486,0.8898,,58,19,"[1, 1, 0, 0, 0, 2, 0, 2, 1, 1, 1, 0, 2, 1, 2, 3, 1, 1, 2, 5, 1, 2, 0, 0, 0]"
2,38.3865709639,0.8347,,87,19,"[3, 0, 1, 2, 1, 2, 0, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 6, 1, 0, 2, 2, 0]"
3,37.43480471339999,0.7796,0.7176307755358079,116,19,"[0, 0, 1, 0, 1, 2, 0, 1, 4, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 10, 1, 1, 0, 0, 1]"
4,39.40141210069999,0.7245,0.2821271974464943,145,19,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 4, 10, 0, 1, 0, 0, 3]"
5,32.8911519047,0.6694,0.06229610407146914,174,4,"[2, 0, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 3, 0, 0, 5, 1, 3, 3, 1, 0, 0, 2, 1]"
6,33.1118130279,0.6143000000000001,0.12145899306854298,203,4,"[0, 1, 1, 1, 5, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 2, 5, 0, 0, 2, 5, 0]"
7,28.536553410699998,0.5591999999999999,0.19126072191986546,232,21,"[1, 1, 2, 1, 5, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 0, 2, 1, 2, 3, 2, 0, 1, 0, 0]"
8,38.858661300499996,0.5041,0.06557097337369261,261,21,"[0, 1, 0, 0, 0, 2, 1, 7, 1, 3, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 4, 2, 1, 0]"
9,34.59304954860001,0.44900000000000007,0.05818928367105024,290,23,"[0, 0, 0, 0, 1, 4, 0, 4, 1, 2, 2, 0, 0, 3, 0, 1, 0, 0, 1, 2, 0, 2, 2, 4, 0]"
10,27.2678171999,0.39770000000000005,0.052206204583247505,317,18,"[0, 0, 1, 0, 0, 5, 0, 4, 1, 2, 1, 3, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 4, 1]"
11,32.16173037605,0.3426000000000001,0.05019598929532643,346,7,"[1, 1, 1, 2, 0, 2, 0, 3, 0, 4, 0, 1, 0, 0, 0, 1, 2, 1, 1, 5, 0, 2, 1, 0, 1]"
12,33.1619165831,0.2875000000000001,0.04663649278468099,375,23,"[0, 0, 1, 0, 2, 6, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 3, 1, 7, 4, 0, 0]"
13,31.473041747799996,0.23239999999999994,0.1306041051344625,404,7,"[0, 1, 0, 0, 0, 3, 0, 6, 4, 3, 2, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 1, 1, 1, 0]"
14,31.4417535554,0.1773,0.14904787519882465,433,8,"[1, 0, 2, 0, 0, 7, 0, 1, 0, 6, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 1, 2, 1, 2, 0]"
15,33.7526675753,0.12409999999999999,0.09460217878222466,461,24,"[0, 0, 1, 2, 0, 8, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 9, 3, 0, 0, 0, 0, 0]"
16,27.793561069699997,0.06900000000000006,0.08242166106557024,490,9,"[0, 0, 0, 2, 4, 8, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4, 0, 1, 0, 0, 3]"
17,32.0181869832,0.050000000000000044,0.07766173354216985,518,24,"[1, 0, 0, 0, 0, 1, 0, 0, 4, 3, 0, 3, 0, 0, 0, 0, 0, 0, 4, 4, 0, 3, 2, 3, 0]"
18,32.189272058700006,0.050000000000000044,0.08603541565866306,547,6,"[0, 3, 0, 0, 0, 0, 3, 2, 3, 1, 2, 2, 0, 0, 2, 0, 3, 0, 3, 0, 0, 3, 2, 0, 0]"
19,36.216471685500004,0.050000000000000044,0.08404542736966035,576,23,"[0, 0, 0, 0, 0, 2, 6, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 3, 3, 1, 1, 1, 6, 0]"
