method,reference,metric,n_pairs,mean_difference,ci95_low,ci95_high
dqn,random,episode_return,3,11.358780167199996,-5.765223873888054,28.482784208288045
dqn,random,episode_pdet,3,0.01784599999999999,-0.01673132692307627,0.05242332692307625
dqn,random,episode_rmse_m,3,1.8308333333333355,-5.4295869259390885,9.09125359260576
dqn,random,episode_throughput_mbps,3,0.00023210299999999997,-0.00020476116134516206,0.000668967161345162
dqn,random,episode_delay_ms,3,-0.26746666666666624,-1.3338708876922025,0.7989375543588699
dqn,random,episode_loss_pct,3,0.0,0.0,0.0
dqn,random,episode_total_energy_j,3,339.3333333333333,-2493.43046261696,3172.097129283627
dqn,random,mission_duration_s,3,0.0,0.0,0.0
dqn,random,mission_completed,3,0.0,0.0,0.0
dqn,random,battery_terminated,3,0.0,0.0,0.0
dqn,random,effective_control_action_rate,3,-0.43823885777908766,-0.6086235228901883,-0.26785419266798705
dqn,rule,episode_return,3,0.24024688166666172,-26.694818506865317,27.17531227019864
dqn,rule,episode_pdet,3,0.006224666666666656,-0.021153549173117226,0.033602882506450535
dqn,rule,episode_rmse_m,3,0.2072666666666668,-1.383134643132464,1.7976679764657975
dqn,rule,episode_throughput_mbps,3,-1.5069666666666718e-05,-0.0006435534456657451,0.0006134141123324118
dqn,rule,episode_delay_ms,3,-0.31750000000000017,-0.9534450278613229,0.3184450278613226
dqn,rule,episode_loss_pct,3,0.0,0.0,0.0
dqn,rule,episode_total_energy_j,3,-142.66666666666666,-1393.8544396667237,1108.5211063333902
dqn,rule,mission_duration_s,3,0.0,0.0,0.0
dqn,rule,mission_completed,3,0.0,0.0,0.0
dqn,rule,battery_terminated,3,0.0,0.0,0.0
dqn,rule,effective_control_action_rate,3,-0.006269592476489043,-0.24027659844674124,0.22773741349376317
dqn,static,episode_return,3,12.408863465966668,-9.241021137823363,34.0587480697567
dqn,static,episode_pdet,3,0.018215666666666668,-0.011169820805990514,0.04760115413932385
dqn,static,episode_rmse_m,3,-0.0295999999999997,-3.2935358688395535,3.234335868839554
dqn,static,episode_throughput_mbps,3,0.00026599033333333334,-0.0002573831733105907,0.0007893638399772574
dqn,static,episode_delay_ms,3,-0.13396666666666648,-0.7745302402890276,0.5065969069556947
dqn,static,episode_loss_pct,3,0.0,0.0,0.0
dqn,static,episode_total_energy_j,3,-128.33333333333334,-1389.2194166492343,1132.5527499825678
dqn,static,mission_duration_s,3,0.0,0.0,0.0
dqn,static,mission_completed,3,0.0,0.0,0.0
dqn,static,battery_terminated,3,0.0,0.0,0.0
dqn,static,effective_control_action_rate,3,,,
