method,reference,metric,n_pairs,mean_difference,ci95_low,ci95_high
dqn,static,episode_return,3,12.408863465966668,-9.241021137823363,34.0587480697567
dqn,static,episode_pdet,3,0.018215666666666668,-0.011169820805990514,0.04760115413932385
dqn,static,episode_rmse_m,3,-0.0295999999999997,-3.2935358688395535,3.234335868839554
dqn,static,episode_throughput_mbps,3,0.00026599033333333334,-0.0002573831733105907,0.0007893638399772574
dqn,static,episode_delay_ms,3,-0.13396666666666648,-0.7745302402890276,0.5065969069556947
dqn,static,episode_loss_pct,3,0.0,0.0,0.0
dqn,static,episode_total_energy_j,3,-128.33333333333334,-1389.2194166492343,1132.5527499825678
dqn,static,mission_duration_s,3,0.0,0.0,0.0
dqn,static,mission_completed,3,0.0,0.0,0.0
dqn,static,battery_terminated,3,0.0,0.0,0.0
dqn,static,effective_control_action_rate,3,,,
random,static,episode_return,3,1.0500832987666726,-3.7343887331277923,5.8345553306611375
random,static,episode_pdet,3,0.0003696666666666755,-0.007705525082355569,0.00844485841568892
random,static,episode_rmse_m,3,-1.8604333333333354,-8.272453776011437,4.551587109344766
random,static,episode_throughput_mbps,3,3.3887333333333364e-05,-6.791799037834633e-05,0.00013569265704501304
random,static,episode_delay_ms,3,0.13349999999999973,-0.29566784435984833,0.5626678443598478
random,static,episode_loss_pct,3,0.0,0.0,0.0
random,static,episode_total_energy_j,3,-467.6666666666667,-2948.177788290881,2012.8444549575477
random,static,mission_duration_s,3,0.0,0.0,0.0
random,static,mission_completed,3,0.0,0.0,0.0
random,static,battery_terminated,3,0.0,0.0,0.0
random,static,effective_control_action_rate,3,,,
rule,static,episode_return,3,12.168616584300006,-0.15780163187143792,24.49503480047145
rule,static,episode_pdet,3,0.01199100000000001,0.0034507589027007422,0.02053124109729928
rule,static,episode_rmse_m,3,-0.23686666666666648,-2.279715107494752,1.8059817741614193
rule,static,episode_throughput_mbps,3,0.00028106,2.5124948019075363e-05,0.0005369950519809247
rule,static,episode_delay_ms,3,0.1835333333333337,-0.30204730778751876,0.6691139744541862
rule,static,episode_loss_pct,3,0.0,0.0,0.0
rule,static,episode_total_energy_j,3,14.333333333333334,1.8301143745817843,26.836552292084882
rule,static,mission_duration_s,3,0.0,0.0,0.0
rule,static,mission_completed,3,0.0,0.0,0.0
rule,static,battery_terminated,3,0.0,0.0,0.0
rule,static,effective_control_action_rate,3,,,
