method,seed,episode_return,steps,mission_duration_s,terminated,truncated,mission_completed,battery_terminated,episode_pdet,episode_rmse_m,episode_throughput_mbps,episode_delay_ms,episode_loss_pct,episode_total_energy_j,final_window_pdet,final_window_rmse_m,final_window_throughput_mbps,final_window_delay_ms,final_window_loss_pct,final_window_energy_j,total_actions,noop_actions,attempted_control_actions,effective_control_actions,clipped_no_effect_actions,effective_control_action_rate
static,8001,32.52153075249999,29,300.0,False,True,True,False,0.933323,39.0011,0.00095027,11.6372,0.0,327319.0,1.0,44.61805961,0.0009888,11.7612925,0.0,10963.18737,29,29,0,0,0,nan
static,8002,27.944684381999995,29,300.0,False,True,True,False,0.913573,35.7793,0.00083427,11.7901,0.0,349285.0,1.0,54.53488325,0.0009056,11.4293951,0.0,11447.97348,29,29,0,0,0,nan
static,8003,26.3844022764,29,300.0,False,True,True,False,0.905903,38.8966,0.00089827,12.0246,0.0,347088.0,1.0,58.21252086,0.0008896,12.00044125,0.0,11531.09412,29,29,0,0,0,nan
random,8001,31.4273723575,29,300.0,False,True,True,False,0.935497,39.8338,0.000941319,11.9621,0.0,327621.0,1.0,43.9248321,0.0009536,12.12257559,0.0,10775.6272,29,3,26,21,5,0.8076923076923077
random,8002,29.555828822500004,29,300.0,False,True,True,False,0.915891,33.6781,0.000872164,11.7792,0.0,349176.0,1.0,52.29344753,0.0009312,12.20357132,0.0,11761.77517,29,2,27,23,4,0.8518518518518519
random,8003,29.0176661272,29,300.0,False,True,True,False,0.90252,34.5838,0.000970989,12.1111,0.0,345492.0,1.0,39.74290984,0.0012768,11.98792648,0.0,11482.72857,29,0,29,27,2,0.9310344827586207
rule,8001,45.681756859,29,300.0,False,True,True,False,0.944195,38.6996,0.00124865,11.8315,0.0,327334.0,1.0,39.66021992,0.0013888,12.076156,0.0,10963.81237,29,0,29,12,17,0.41379310344827586
rule,8002,34.730320759200005,29,300.0,False,True,True,False,0.922825,36.3952,0.00100474,12.1635,0.0,349294.0,1.0,54.87377883,0.0010848,12.32776032,0.0,11448.25348,29,7,22,8,14,0.36363636363636365
rule,8003,42.9443895456,29,300.0,False,True,True,False,0.921752,37.8716,0.0012726,12.0075,0.0,347107.0,1.0,53.66013458,0.0013568,11.87985427,0.0,11531.82412,29,0,29,15,14,0.5172413793103449
dqn,8001,34.86973220130001,29,300.0,False,True,True,False,0.937942,38.2907,0.000973461,11.2347,0.0,327609.0,1.0,50.50519983,0.0010368,11.0069704,0.0,10957.95551,29,0,29,12,17,0.41379310344827586
dqn,8002,45.59104143039999,29,300.0,False,True,True,False,0.937456,37.2643,0.00123489,11.9018,0.0,348592.0,1.0,56.71550241,0.0012704,12.20850474,0.0,11356.82418,29,0,29,13,16,0.4482758620689655
dqn,8003,43.61643417709999,29,300.0,False,True,True,False,0.932048,38.0332,0.00127243,11.9135,0.0,347106.0,1.0,55.37389246,0.0012704,12.1279031,0.0,11531.68912,29,0,29,12,17,0.41379310344827586
