sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.441518,7.66349,9759.09,1.38936,2282.3,2399.16,2604.37,2473.27,2280.02,2397.11,2602.4,2471.17,1.79574,1.79574,1.79574,1.79574,0.475,0.25,0.175,0.305,0.0007712,11.622,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
20,0.592187,8.55275,20642.2,2.01456,4818.2,5093.43,5520.7,5209.87,4813.36,5089.15,5516.49,5205.39,3.791,3.791,3.791,3.791,1.05,0.495,0.425,0.695,0.0009344,11.8684,0,1.1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
30,0.688141,9.74474,31712.4,2.31107,7357.49,7799.38,8563.7,7991.79,7350.27,7792.78,8556.97,7985.02,5.78626,5.78626,5.78626,5.78626,1.435,0.815,0.95,0.985,0.0009728,11.2581,0,1.1,1,1,1,8.82019,14.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
40,0.789103,10.2503,42698.2,2.6962,9946.83,10420.5,11536.2,10794.8,9937.37,10411.3,11526.9,10785.7,7.78152,7.78152,7.78152,7.78152,1.68,1.38,1.485,1.295,0.0010592,11.5311,0,1.1,1,1,1,8.82019,13.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
50,0.842308,12.6929,53687.1,2.57902,12536.6,13028.5,14539.1,13582.8,12524.9,13016.7,14527.7,13571.3,9.77679,9.77679,9.77679,9.77679,1.93,2.03,1.7,1.715,0.0009824,11.5062,0,1.1,1,1,1,8.82019,12.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
60,0.914744,13.5356,64655.2,2.71618,15104.2,15621.1,17560,16369.9,15090.2,15606.7,17546.2,16356.1,11.772,11.772,11.772,11.772,2.245,2.54,2.075,2.035,0.0009728,11.6976,0,1.1,1,1,1,8.82019,12.4661,24.0208,16.2061,60,80,100,120,2,1.5,1,1.2
70,0.925,16.5293,75550.3,2.31089,17629,18229.3,20609.9,19082.1,17612.6,18212.6,20593.8,19066.1,13.7673,13.7673,13.7673,13.7673,2.63,2.87,2.385,2.275,0.0008096,11.5311,0,1.1,1,1,1,8.82019,12.4661,25.0208,16.2061,60,80,100,120,2,1.5,1,1.2
80,0.925,20.1033,86645,2.07117,20183.5,20831.1,23757.2,21873.2,20164.7,20812.2,23738.6,21855,15.7626,15.7626,15.7626,15.7626,3.045,3.145,2.775,2.465,0.0008128,11.6562,0,1.1,1,1,1,8.82019,12.4661,26.0208,16.2061,60,80,100,120,2,1.5,1,1.2
90,0.925,24.3233,97729.2,1.81744,22707.8,23547.4,26950.9,24523,22686.6,23526.1,26930.1,24502.7,17.7578,17.7578,17.7578,17.7578,3.45,3.595,3.085,2.575,0.000816,11.2002,0,1.1,0.9,1,1,8.82019,12.4661,26.0208,16.2061,60,80,100,120,2,1.5,1,1.2
100,0.941071,26.9035,108572,2.1856,25238.3,26185.8,30150.9,26997.1,25214.6,26161.6,30127.7,26974.7,19.7531,19.7531,19.7531,19.7531,3.96,4.385,3.455,2.68,0.001136,10.9609,0,1.1,0.8,1,1,8.82019,12.4661,26.0208,16.2061,60,80,100,120,2,1.5,1,1.2
