sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.380804,7.47086,10326.5,1.04465,2271.97,2629.42,2888.31,2536.81,2269.72,2627.39,2886.37,2534.81,1.79574,1.79574,1.79574,1.79574,0.455,0.235,0.145,0.21,0.0006688,12.058,0,1,1,1,1,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
20,0.4425,8.14378,21641.7,1.37235,4789.64,5625.39,6144.12,5082.5,4784.76,5621.1,6140,5078.34,3.791,3.791,3.791,3.791,1.09,0.5,0.33,0.37,0.0007968,12.1485,0,1,1,1,1,7.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
30,0.46,10.0936,33132.6,1.82796,7291.33,8540.45,9606.79,7694.02,7283.84,8533.65,9600.18,7687.68,5.78626,5.78626,5.78626,5.78626,1.7,1.01,0.815,0.555,0.0011456,11.9505,0,1,1,1,1,7.20599,21.2026,29.7894,20.1602,60,80,95,120,2,1.5,1,1.2
40,0.543125,11.6372,44605.1,1.65733,9790.71,11303.2,12934.6,10576.6,9780.64,11294.2,12925.5,10568.1,7.78152,7.78152,7.78152,7.78152,2.285,1.25,1.26,0.755,0.0009408,12.1485,0,1,1,1,1,7.20599,21.2026,29.7894,20.1602,60,80,95,120,2,1.5,1,1.2
50,0.71,13.055,56255.5,1.94104,12307.7,14135.6,16266.9,13545.2,12295.2,14124.2,16255.7,13534.4,9.77679,9.77679,9.77679,9.77679,2.76,1.615,1.49,1.025,0.0008576,12.1005,0,1,1,1,1,8.20599,21.2026,29.7894,20.1602,60,80,95,120,2,1.5,1,1.2
60,0.901563,14.6705,67987.7,2.56882,14832.1,17021.7,19634.1,16499.8,14817.3,17007.9,19620.5,16486.6,11.772,11.772,11.772,11.772,3.035,2.05,1.905,1.41,0.0009664,12.1485,0,1,1,1,1,8.20599,21.2026,29.7894,20.1602,60,80,95,120,2,1.5,1,1.2
70,0.925,17.8688,79730.4,2.12393,17374.2,19988,22922.7,19445.5,17357.1,19971.8,22906.7,19430.1,13.7673,13.7673,13.7673,13.7673,3.295,2.395,2.285,1.61,0.0007584,11.9482,0,1,1,1,0.9,8.20599,21.2026,29.7894,20.1602,60,80,95,120,2,1.5,1,1.2
80,0.925,20.7206,91236.2,1.90358,19910.7,22969.8,26216.7,22139,19891.3,22951.2,26198.3,22121.5,15.7626,15.7626,15.7626,15.7626,3.635,2.765,2.61,1.74,0.0007456,12.169,0,1,1,1,0.9,8.20599,21.2026,29.7894,20.1602,65,80,95,120,2,1.5,1,1.2
90,0.925,23.0556,102903,1.96615,22438.4,25899.5,29596.7,24968.7,22416.5,25878.6,29576,24949,17.7578,17.7578,17.7578,17.7578,4.1,3.21,2.93,1.895,0.0008864,12.0282,0,1,1,1,0.9,8.20599,21.2026,29.7894,20.1602,70,80,95,120,2,1.5,1,1.2
100,0.925,24.2821,114063,1.83852,24954,28515.3,32812.9,27780.4,24929.7,28492.1,32789.8,27758.6,19.7531,19.7531,19.7531,19.7531,4.59,3.43,3.39,2.075,0.000864,12.2735,0,1,1,1,0.9,8.20599,21.2026,28.7894,20.1602,70,80,95,120,2,1.5,1,1.2
110,0.925,27.8211,125429,1.42131,27462.2,31425,36117.3,30424.7,27435.4,31399.6,36091.8,30400.7,21.7484,21.7484,21.7484,21.7484,5.055,3.705,3.665,2.215,0.0007392,12.155,0,1,0.9,1,0.9,8.20599,21.2026,28.7894,20.1602,70,80,95,120,2,1.5,1,1.2
