sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.380804,7.47086,10326.5,1.04465,2271.97,2629.42,2888.31,2536.81,2269.72,2627.39,2886.37,2534.81,1.79574,1.79574,1.79574,1.79574,0.455,0.235,0.145,0.21,0.0006688,12.058,0,1,1,1,1,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
20,0.442857,8.251,21647.9,1.48888,4795.84,5625.41,6144.11,5082.51,4790.85,5621.1,6140,5078.34,3.791,3.791,3.791,3.791,1.205,0.515,0.32,0.38,0.00088,12.1926,0,0.9,1,1,1,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
30,0.465476,10.031,33147.4,2.03877,7306.9,8540.55,9605.88,7694.04,7299.2,8533.65,9599.28,7687.68,5.78626,5.78626,5.78626,5.78626,1.915,1.115,0.805,0.575,0.0012736,11.9865,0,0.9,0.9,1,1,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
40,0.54517,11.1072,44630.4,1.85501,9816.77,11303.3,12933.7,10576.6,9806.43,11294.2,12924.6,10568.1,7.78152,7.78152,7.78152,7.78152,2.565,1.405,1.27,0.79,0.0010368,11.9044,0,0.9,0.9,0.9,1,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
50,0.707955,12.5783,56288,2.01045,12340.9,14135.9,16266,13545.3,12328.1,14124.2,16254.8,13534.4,9.77679,9.77679,9.77679,9.77679,2.99,1.825,1.51,1.095,0.0008896,12.1852,0,0.9,0.9,0.9,0.9,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
60,0.900543,14.0684,68023,2.86093,14867.7,17022,19633.3,16499.9,14852.6,17007.9,19619.6,16486.6,11.772,11.772,11.772,11.772,3.32,2.35,2,1.55,0.001152,12.6162,0,0.8,0.9,0.9,0.9,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
70,0.925,17.0109,79766.7,2.3029,17410.8,19988.3,22921.9,19445.6,17393.4,19971.8,22905.8,19430.1,13.7673,13.7673,13.7673,13.7673,3.695,2.735,2.41,1.715,0.0008544,12.3928,0,0.8,0.8,0.9,0.9,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
80,0.925,20.0901,91272.3,2.26727,19947,22970.3,26215.9,22139.1,19927.1,22951.2,26197.4,22121.5,15.7626,15.7626,15.7626,15.7626,4.19,3.285,2.76,1.85,0.0009792,12.7438,0,0.8,0.8,0.8,0.9,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
90,0.925,22.679,102939,2.21276,22474,25900.1,29596,24968.8,22451.5,25878.6,29575.1,24949,17.7578,17.7578,17.7578,17.7578,4.755,3.79,3.16,2.035,0.0010592,12.7821,0,0.8,0.8,0.8,0.8,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
100,0.925,25.2448,114145,1.85122,24989.7,28515.9,32858.6,27780.5,24964.7,28492.1,32835.1,27758.6,19.7531,19.7531,19.7531,19.7531,5.235,4.035,3.7,2.21,0.0009216,12.4639,0,0.7,0.8,0.8,0.8,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
110,0.925,29.3995,125570,1.43819,27497.8,31425.7,36221.5,30424.8,27470.4,31399.6,36195.7,30400.7,21.7484,21.7484,21.7484,21.7484,5.625,4.425,4.045,2.385,0.000832,12.4969,0,0.7,0.7,0.8,0.8,8.20599,21.2026,29.7894,20.1602,60,80,100,120,2,1.5,1,1.2
