sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.441518,7.66349,9759.09,1.38936,2282.3,2399.16,2604.37,2473.27,2280.02,2397.11,2602.4,2471.17,1.79574,1.79574,1.79574,1.79574,0.475,0.25,0.175,0.305,0.0007712,11.622,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
20,0.594688,8.89124,20642.2,2.00963,4818.23,5093.44,5520.69,5209.87,4813.36,5089.15,5516.49,5205.39,3.791,3.791,3.791,3.791,1.075,0.5,0.41,0.69,0.0009408,11.8576,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
30,0.69625,10.2124,31732.6,2.34425,7357.6,7819.62,8563.67,7991.76,7350.27,7812.99,8556.97,7985.02,5.78626,5.78626,5.78626,5.78626,1.54,0.845,0.915,0.955,0.0010112,11.6095,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
40,0.799687,10.5973,42764,2.75285,9946.97,10486.1,11536.1,10794.8,9937.37,10476.9,11526.9,10785.7,7.78152,7.78152,7.78152,7.78152,1.82,1.425,1.43,1.3,0.0011008,11.8184,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
50,0.853437,13.0607,53822.6,2.56072,12536.8,13163.9,14539.1,13582.8,12524.9,13152.1,14527.7,13571.3,9.77679,9.77679,9.77679,9.77679,2.105,2.08,1.65,1.665,0.000976,11.8577,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
60,0.904375,14.6631,64825.3,2.6122,15104.4,15830.5,17520.5,16369.9,15090.2,15816.2,17506.7,16356.1,11.772,11.772,11.772,11.772,2.475,2.52,2.035,1.98,0.0009664,11.4597,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
70,0.9125,17.2831,75590.8,2.21416,17629.3,18394.6,20484.9,19082.1,17612.6,18378,20468.9,19066.1,13.7673,13.7673,13.7673,13.7673,2.925,2.805,2.32,2.215,0.0008032,11.5186,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
80,0.9125,21.1554,86620.8,2.00204,20183.8,21071.4,23492.4,21873.2,20164.7,21052.6,23473.9,21855,15.7626,15.7626,15.7626,15.7626,3.395,3.055,2.72,2.4,0.0008352,11.5579,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
90,0.9125,25.8091,97646.8,1.62471,22708.3,23889.4,26526.2,24523,22686.6,23868.1,26505.5,24502.7,17.7578,17.7578,17.7578,17.7578,3.865,3.46,2.94,2.535,0.0007872,11.4597,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
100,0.925,29.143,108423,1.69831,25238.8,26612.8,29574.1,26997.1,25214.6,26589.1,29551,26974.7,19.7531,19.7531,19.7531,19.7531,4.4,3.935,3.33,2.645,0.0009664,11.6686,0,1,1,1,1,8.82019,15.4661,23.0208,16.2061,60,80,100,120,2,1.5,1,1.2
