method,reference,metric,n_pairs,mean_difference,ci95_low,ci95_high
dqn,static,return,3,12.40886346596667,2.546628122167652,22.27109880976569
dqn,static,pdet,3,0.0,0.0,0.0
dqn,static,rmse_m,3,1.7430436600000003,-3.2126131127459363,6.698700432745937
dqn,static,throughput_mbps,3,0.0002645333333333334,5.213765100015185e-05,0.0004769290156665149
dqn,static,delay_ms,3,0.05074979666666657,-0.8201218090100735,0.9216214023434066
dqn,static,loss_pct,3,0.0,0.0,0.0
dqn,static,final_window_energy_j,3,-31.928720000000492,-90.05845511649036,26.201015116489376
random,static,return,3,1.0500832987666737,-1.1294012591374958,3.229567856670843
random,static,pdet,3,0.0,0.0,0.0
random,static,rmse_m,3,-7.134758083333331,-18.277400057896784,4.007883891230122
random,static,throughput_mbps,3,0.00012586666666666665,-0.00013254007162868907,0.00038427340496202233
random,static,delay_ms,3,0.37431484666666687,-0.07098065930603259,0.8196103526393663
random,static,loss_pct,3,0.0,0.0,0.0
random,static,final_window_energy_j,3,25.958656666666986,-266.91544201371954,318.8327553470535
rule,static,return,3,12.168616584300011,6.553527191505155,17.78370597709487
rule,static,pdet,3,0.0,0.0,0.0
rule,static,rmse_m,3,-3.0571101300000003,-6.393092929959396,0.27887266995939575
rule,static,throughput_mbps,3,0.00034879999999999997,0.0001782984745640086,0.0005193015254359914
rule,static,delay_ms,3,0.3642139133333326,-0.21433755505783442,0.9427653817244996
rule,static,loss_pct,3,0.0,0.0,0.0
rule,static,final_window_energy_j,3,0.5449999999994665,0.2785913665051827,0.8114086334937503
