method,metric,n,mean,std,ci95_low,ci95_high
dqn,return,3,41.35906926959999,5.705995981483464,34.90212697042737,47.816011568772616
dqn,pdet,3,1.0,0.0,1.0,1.0
dqn,rmse_m,3,54.198198233333336,3.2678214791741076,50.500310116430306,57.89608635023637
dqn,throughput_mbps,3,0.0011925333333333333,0.0001348690228826966,0.0010399146666666666,0.001345152
dqn,delay_ms,3,11.78112608,0.6716486572233052,11.021084075224497,12.541168084775503
dqn,loss_pct,3,0.0,0.0,0.0,0.0
dqn,final_window_energy_j,3,11282.15627,294.0646806380085,10949.39075784999,11614.92178215001
random,return,3,30.0002891024,1.2648437588861488,28.56898364843556,31.43159455636444
random,pdet,3,1.0,0.0,1.0,1.0
random,rmse_m,3,45.32039649000001,6.390594577346045,38.088757950955504,52.55203502904451
random,throughput_mbps,3,0.0010538666666666666,0.00019339052027783922,0.0008350246915420474,0.001272708641791286
random,delay_ms,3,12.104691129999999,0.10892917279946197,11.981426167012788,12.22795609298721
random,loss_pct,3,0.0,0.0,0.0,0.0
random,final_window_energy_j,3,11340.043646666667,508.3219405000726,10764.823220668555,11915.264072664779
rule,return,3,41.11882238793334,5.699386786959104,34.66935909642674,47.568285679439946
rule,pdet,3,1.0,0.0,1.0,1.0
rule,rmse_m,3,49.39804444333333,8.455007565154126,39.8303026915989,58.965786195067764
rule,throughput_mbps,3,0.0012768,0.00016704490414256882,0.0010877708960680041,0.001465829103931996
rule,delay_ms,3,12.094590196666667,0.22452131772219247,11.840520407944261,12.348659985389073
rule,loss_pct,3,0.0,0.0,0.0,0.0
rule,final_window_energy_j,3,11314.62999,306.6769714933787,10967.592327189916,11661.667652810083
static,return,3,28.950205803633327,3.189732195665022,25.340684029685693,32.55972757758096
static,pdet,3,1.0,0.0,1.0,1.0
static,rmse_m,3,52.455154573333324,7.031806147488006,44.49791683593605,60.412392310730596
static,throughput_mbps,3,0.000928,5.325861432669833e-05,0.000867732204376356,0.0009882677956236441
static,delay_ms,3,11.730376283333333,0.2867756713830351,11.405859061636072,12.054893505030595
static,loss_pct,3,0.0,0.0,0.0,0.0
static,final_window_energy_j,3,11314.084990000001,306.715038740768,10967.004250044283,11661.16572995572
