method,seed,return,steps,pdet,rmse_m,throughput_mbps,delay_ms,loss_pct,final_window_energy_j
static,8001,32.52153075249999,29,1,44.61805961,0.0009888,11.7612925,0,10963.18737
static,8002,27.944684381999995,29,1,54.53488325,0.0009056,11.4293951,0,11447.97348
static,8003,26.384402276399996,29,1,58.21252086,0.0008896,12.00044125,0,11531.09412
random,8001,31.427372357499998,29,1,43.9248321,0.0009536,12.12257559,0,10775.6272
random,8002,29.555828822500004,29,1,52.29344753,0.0009312,12.20357132,0,11761.77517
random,8003,29.017666127200002,29,1,39.74290984,0.0012768,11.98792648,0,11482.72857
rule,8001,45.681756859000004,29,1,39.66021992,0.0013888,12.076156,0,10963.81237
rule,8002,34.730320759200005,29,1,54.87377883,0.0010848,12.32776032,0,11448.25348
rule,8003,42.9443895456,29,1,53.66013458,0.0013568,11.87985427,0,11531.82412
dqn,8001,34.86973220130001,29,1,50.50519983,0.0010368,11.0069704,0,10957.95551
dqn,8002,45.59104143039999,29,1,56.71550241,0.0012704,12.20850474,0,11356.82418
dqn,8003,43.61643417709999,29,1,55.37389246,0.0012704,12.1279031,0,11531.68912
