sim_time_s,pdet,rmse_m,energy_j,jscore,uav0_energy_j,uav1_energy_j,uav2_energy_j,uav3_energy_j,uav0_eprop_j,uav1_eprop_j,uav2_eprop_j,uav3_eprop_j,uav0_erf_j,uav1_erf_j,uav2_erf_j,uav3_erf_j,uav0_eproc_j,uav1_eproc_j,uav2_eproc_j,uav3_eproc_j,avg_throughput_mbps,avg_delay_ms,avg_loss_pct,survSenseDt,patSenseDt,rapidSenseDt,stratSenseDt,survTargetSpeed,patTargetSpeed,rapidTargetSpeed,stratTargetSpeed,survTargetAltitude,patTargetAltitude,rapidTargetAltitude,stratTargetAltitude,survDt,patDt,rapidDt,stratDt
10,0.432143,7.39482,10175.1,1.43513,2351.53,2497.74,2886.17,2439.66,2349.34,2495.5,2884.24,2437.59,1.79574,1.79574,1.79574,1.79574,0.395,0.445,0.14,0.28,0.0008064,11.5583,0,1,1,1,1,10.1804,17.5589,32.2647,15.969,60,80,100,120,2,1.5,1,1.2
20,0.7225,7.93609,21636.7,2.99506,4920.02,5267.71,6381.33,5067.65,4915.18,5262.66,6377.09,5063.33,3.791,3.791,3.791,3.791,1.045,1.255,0.45,0.535,0.001296,11.7473,0,1,1,1,1,10.1804,17.5589,32.2647,15.969,60,80,105,120,2,1.5,1,1.2
30,0.8175,8.65528,33070.8,3.23386,7482.34,8022.65,9862.89,7702.87,7474.81,8015.05,9856.11,7696.34,5.78626,5.78626,5.78626,5.78626,1.75,1.815,0.995,0.74,0.0012896,11.5204,0,1,1,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
40,0.888462,10.3077,44593.1,3.27058,10061.6,10757.4,13397.6,10376.5,10051.3,10747.5,13388.3,10367.6,7.78152,7.78152,7.78152,7.78152,2.53,2.18,1.46,1.085,0.0012512,11.6885,0,1,1.1,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
50,0.909295,12.4385,55893.1,3.01042,12636.6,13285.9,16860.1,13110.6,12623.3,13273.6,16848.6,13099.5,9.77679,9.77679,9.77679,9.77679,3.455,2.47,1.765,1.36,0.0011488,12.2285,0,1,1.2,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
60,0.9125,15.3462,67587.2,2.72967,15239.8,16035.8,20442.1,15869.5,15223.8,16021.3,20428.4,15856,11.772,11.772,11.772,11.772,4.28,2.785,1.96,1.71,0.0010784,12.047,0,1,1.2,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
70,0.9125,19.2151,79294.4,2.3486,17798,18843,23922.1,18731.4,17779.4,18826.1,23906,18715.6,13.7673,13.7673,13.7673,13.7673,4.785,3.1,2.335,2.07,0.0009952,12.0139,0,1,1.3,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
80,0.916554,21.7297,90736.7,1.91404,20346.7,21628.5,27336.2,21425.2,20325.9,21609.2,27317.7,21407.3,15.7626,15.7626,15.7626,15.7626,5.095,3.48,2.77,2.22,0.000816,12.2196,0,1,1.4,1,1,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
90,0.925,23.2471,102326,1.67541,22908.5,24463.7,30901.7,24052.5,22885.4,24442.2,30880.8,24032.4,17.7578,17.7578,17.7578,17.7578,5.36,3.705,3.17,2.42,0.0006976,11.9236,0,1,1.4,1,0.9,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
100,0.93875,27.3224,113858,1.39133,25496.9,27121.1,34412,26827.7,25471.4,27097.5,34388.9,26805.3,19.7531,19.7531,19.7531,19.7531,5.755,3.85,3.37,2.7,0.0006528,11.6526,0,1,1.4,1,0.8,10.1804,17.5589,32.2647,15.969,60,80,110,120,2,1.5,1,1.2
